STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",8/24/23,68,71,65
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",8/25/23,72,79,68
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",8/26/23,73,80,64
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",8/27/23,66,75,59
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",8/28/23,64,75,54
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",8/29/23,71,78,65
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",8/30/23,67,74,58
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",8/31/23,62,74,50
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/1/23,63,78,50
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/2/23,68,82,54
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/3/23,75,87,64
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/4/23,78,88,69
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/5/23,78,90,68
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/6/23,79,92,67
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/7/23,78,89,69
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/8/23,72,79,67
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/9/23,68,73,63
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/10/23,68,72,66
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/11/23,67,70,60
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/12/23,68,83,58
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/13/23,68,75,58
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/14/23,61,69,52
USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",9/15/23,59,73,47
